time,34420a_volt
1731185052.674711,0.0
1731185053.211605,6.57e-09
1731185053.7483346,-2.61e-09
1731185054.285059,7.36e-09
1731185054.8220015,3.06e-09
1731185055.3587291,-2.16e-09
1731185055.895496,8.06e-09
1731185056.4322343,5.44e-09
1731185056.969022,9.87e-09
1731185057.505759,8.51e-09
1731185058.0425315,4.08e-09
1731185058.5792851,7.36e-09
1731185059.1160536,7.02e-09
1731185059.6527412,4.77e-09
1731185060.189497,3.39e-09
1731185060.7261405,2.03e-09
1731185061.2628791,5.66e-09
1731185061.799548,1.47e-09
1731185062.3363004,7.82e-09
1731185062.8731234,4.77e-09
1731185063.4099848,-2.26e-09
1731185063.9467049,5.1e-09
1731185064.483504,-1.36e-09
1731185065.0203426,4.43e-09
1731185065.5570781,7.02e-09
1731185066.093919,2.37e-09
1731185066.6305115,3.52e-09
1731185067.1673236,1.316e-08
1731185067.7041502,5.1e-09
1731185068.240834,7.82e-09
1731185068.7776003,2.03e-09
1731185069.3143597,8.51e-09
1731185069.8511343,-3.4e-10
1731185070.3879204,2.26e-09
1731185070.9247475,1.395e-08
1731185071.4614923,5.21e-09
1731185071.9981973,4.08e-09
1731185072.5348864,1.01e-09
1731185073.0716255,7.15e-09
1731185073.608338,7.36e-09
1731185074.1451008,3.28e-09
1731185074.6819315,8.84e-09
1731185075.2186263,1.429e-08
1731185075.7552805,1.92e-09
1731185076.2920706,4.43e-09
1731185076.8288631,1.58e-09
1731185077.3656843,3.97e-09
1731185077.9025471,2.72e-09
1731185078.4393,3.4e-10
1731185078.9760032,-2.26e-09
1731185079.5128272,9.53e-09
1731185080.0496647,8.62e-09
1731185080.5865266,8.06e-09
1731185081.1234095,4.3e-09
1731185081.660231,4.3e-09
1731185082.1970754,-2.72e-09
1731185082.7339027,2.49e-09
1731185083.2706168,4.19e-09
1731185083.8073845,4.88e-09
1731185084.3441112,3.39e-09
1731185084.880908,-9e-10
1731185085.4178052,1.066e-08
1731185085.954561,-3.4e-10
1731185086.4913318,3.17e-09
1731185087.0281026,4.43e-09
1731185087.5648527,2.37e-09
1731185088.1015267,1.122e-08
1731185088.6381826,8.73e-09
1731185089.1748757,2.49e-09
1731185089.7116199,8.96e-09
1731185090.2483792,2.16e-09
1731185090.785125,-2.3e-10
1731185091.3218887,1.088e-08
1731185091.8585868,6.13e-09
1731185092.3951912,6.81e-09
1731185092.9319923,-6.92e-09
1731185093.4688098,6e-09
1731185094.0056288,9.63e-09
1731185094.5422652,2.72e-09
1731185095.0790453,7.82e-09
1731185095.615897,2.72e-09
