time,34420a_volt
1731312289.4903038,0.0
1731312289.6047971,-5.68e-09
1731312289.719289,1.19e-08
1731312289.833838,-4.53e-09
1731312289.948418,1.077e-08
1731312290.0628695,3.97e-09
1731312290.1774056,-1.759e-08
1731312290.2919981,-3.98e-09
1731312290.4074438,1.7e-09
1731312290.52318,-9.64e-09
1731312290.638781,7.93e-09
1731312290.7544823,-1.532e-08
1731312290.8700988,-1.362e-08
1731312290.9858098,-2.837e-08
1731312291.1014261,1.7e-09
1731312291.2171175,4.53e-09
1731312291.3327906,-1.929e-08
1731312291.448797,-4.53e-09
1731312291.564808,-1.305e-08
1731312291.6808183,-3.98e-09
1731312291.7967105,4.53e-09
1731312291.91258,5.5e-10
1731312292.0284412,1.588e-08
1731312292.1443713,-5.6e-10
1731312292.2602606,-8.51e-09
1731312292.3761795,-5.1e-09
1731312292.4918733,0.0
1731312292.6074378,1.7e-09
1731312292.723138,-2.61e-08
1731312292.8386981,2.82e-09
1731312292.9540114,0.0
1731312293.0696192,3.97e-09
1731312293.1851346,-7.95e-09
1731312293.3007812,-2.61e-08
1731312293.4164848,1.644e-08
1731312293.532061,5.1e-09
1731312293.647602,-1.191e-08
1731312293.7631583,-1.305e-08
1731312293.8787098,-5.1e-09
1731312293.9942698,2.26e-09
1731312294.1097512,6.8e-09
1731312294.2253923,5.1e-09
1731312294.3409147,-2.723e-08
1731312294.4566114,1.985e-08
1731312294.5721347,-1.13e-09
1731312294.6877077,-2.26e-09
1731312294.8033433,-1.646e-08
1731312294.9188566,2.82e-09
1731312295.034451,-3.98e-09
1731312295.150013,1.361e-08
1731312295.2656066,2.82e-09
1731312295.381218,-6.24e-09
1731312295.4968367,-2.61e-08
1731312295.612462,5.5e-10
1731312295.7280984,-5.6e-10
1731312295.8437612,1.021e-08
1731312295.9593613,2.26e-09
1731312296.0749178,3.97e-09
1731312296.1905847,-8.51e-09
1731312296.3062987,-8.51e-09
1731312296.421871,1.7e-09
1731312296.5375214,6.8e-09
1731312296.6530526,3.4e-09
1731312296.768542,5.5e-10
1731312296.8840764,3.4e-09
1731312296.999633,6.8e-09
1731312297.1153495,5.1e-09
1731312297.2309158,-2.326e-08
1731312297.3464227,1.19e-08
1731312297.4620411,1.19e-08
1731312297.5775971,1.758e-08
1731312297.693016,-6.24e-09
1731312297.8089294,-6.81e-09
1731312297.9248276,-1.362e-08
1731312298.0405812,-1.474e-08
1731312298.1564777,-3.98e-09
1731312298.2720463,1.531e-08
1731312298.3875997,2.82e-09
1731312298.5032654,1.644e-08
1731312298.618888,-7.95e-09
1731312298.734497,-8.51e-09
1731312298.8500168,2.82e-09
1731312298.965726,5.67e-09
1731312299.0813255,1.247e-08
1731312299.1969318,-1.078e-08
1731312299.3125026,-5.1e-09
1731312299.4280236,-2.26e-09
1731312299.5435915,-1.71e-09
1731312299.6591058,-1.929e-08
1731312299.7745972,-8.51e-09
1731312299.8901365,-6.24e-09
1731312300.0056624,-6.81e-09
1731312300.121119,1.021e-08
1731312300.2367065,9.07e-09
1731312300.3523707,5.1e-09
1731312300.4679601,-9.64e-09
1731312300.5838995,5.1e-09
1731312300.699692,-3.4e-09
1731312300.8154614,-1.532e-08
1731312300.9309375,-5.6e-10
1731312301.0463316,7.93e-09
1731312301.1620753,1.19e-08
1731312301.2777648,-2.83e-09
1731312301.3938837,1.418e-08
1731312301.510152,2.82e-09
1731312301.6264908,-2.83e-09
1731312301.742759,-7.95e-09
1731312301.8588924,-1.247e-08
1731312301.9750295,-1.191e-08
1731312302.0911472,3.97e-09
1731312302.2073824,9.64e-09
1731312302.3236444,-9.64e-09
1731312302.4398422,-6.24e-09
1731312302.5560625,-1.022e-08
1731312302.672405,1.418e-08
1731312302.788333,0.0
1731312302.9045296,-7.37e-09
1731312303.0206878,-2.383e-08
1731312303.1363356,-1.078e-08
1731312303.2518768,-2.326e-08
1731312303.3674126,1.7e-08
1731312303.482959,1.531e-08
1731312303.598576,1.247e-08
1731312303.7141116,8.49e-09
1731312303.8296618,-1.474e-08
1731312303.9452484,1.077e-08
1731312304.0607796,2.042e-08
1731312304.176352,1.13e-09
1731312304.2922323,-9.64e-09
1731312304.407781,-1.815e-08
1731312304.5233765,2.496e-08
1731312304.6388893,5.5e-10
1731312304.7544098,-2.042e-08
1731312304.8703368,-6.24e-09
1731312304.985984,1.7e-08
1731312305.1015298,1.021e-08
1731312305.217105,-1.247e-08
1731312305.3329923,-1.078e-08
1731312305.4488792,-1.135e-08
1731312305.564766,-3.4e-09
1731312305.680412,1.531e-08
1731312305.7960556,-7.95e-09
1731312305.9115849,1.531e-08
1731312306.0270135,-1.191e-08
1731312306.1426923,-1.71e-09
1731312306.2582307,-1.191e-08
1731312306.3738527,7.93e-09
1731312306.4894228,7.93e-09
1731312306.6051605,2.82e-09
1731312306.7208915,1.7e-08
1731312306.8364723,5.67e-09
1731312306.9520788,8.49e-09
1731312307.0676484,8.49e-09
1731312307.1830897,-6.81e-09
1731312307.298603,-6.24e-09
1731312307.4141753,-1.418e-08
1731312307.5297778,9.64e-09
1731312307.6453207,-1.986e-08
1731312307.7608016,-6.24e-09
1731312307.8763552,3.97e-09
1731312307.9919374,5.1e-09
1731312308.107637,5.1e-09
1731312308.2231796,3.97e-09
1731312308.3387244,-6.24e-09
1731312308.4542398,7.36e-09
1731312308.5697925,2.26e-09
1731312308.685397,4.53e-09
1731312308.8009222,1.815e-08
1731312308.9164696,2.212e-08
1731312309.032035,-1.815e-08
1731312309.1476223,9.07e-09
1731312309.2632558,-7.37e-09
1731312309.3787692,-4.53e-09
1731312309.4942853,7.93e-09
1731312309.6097445,-2.83e-09
1731312309.7251668,-2.27e-08
1731312309.840729,3.97e-09
1731312309.9562624,1.13e-09
1731312310.0718656,3.97e-09
1731312310.187274,-6.81e-09
1731312310.302676,-9.07e-09
1731312310.4181335,-1.191e-08
1731312310.53376,5.67e-09
1731312310.6492708,-1.022e-08
1731312310.7648273,-1.71e-09
1731312310.8803105,-1.078e-08
1731312310.9958584,-5.6e-10
1731312311.1114423,9.64e-09
1731312311.22687,8.49e-09
1731312311.3424397,1.418e-08
1731312311.4580877,3.4e-09
1731312311.5737243,-1.13e-09
1731312311.6889482,0.0
1731312311.8045352,5.67e-09
1731312311.9201195,1.7e-09
1731312312.0356257,-1.362e-08
1731312312.1511471,4.53e-09
1731312312.266693,1.361e-08
1731312312.3822546,-3.98e-09
1731312312.497809,8.49e-09
1731312312.6133142,-5.6e-10
1731312312.7288077,5.5e-10
1731312312.8447483,-1.13e-09
1731312312.9606266,-5.1e-09
1731312313.0765207,-5.1e-09
1731312313.192367,5.5e-10
1731312313.3079321,3.4e-09
1731312313.4234395,-1.702e-08
1731312313.5388901,-9.07e-09
1731312313.654414,-1.532e-08
1731312313.769954,-3.4e-09
1731312313.885451,3.97e-09
1731312314.0010455,1.588e-08
1731312314.1165621,-9.64e-09
1731312314.2320397,4.53e-09
1731312314.3475926,7.36e-09
1731312314.4629414,0.0
1731312314.578499,9.07e-09
1731312314.6937344,0.0
1731312314.8092833,3.4e-09
1731312314.9246628,-1.986e-08
1731312315.0402703,1.19e-08
1731312315.1556032,0.0
1731312315.2711313,-5.1e-09
1731312315.3866503,-9.64e-09
1731312315.5022078,-1.418e-08
1731312315.617729,4.53e-09
1731312315.733275,5.5e-10
1731312315.848799,1.247e-08
1731312315.9646776,1.247e-08
1731312316.080286,-7.37e-09
1731312316.1955895,0.0
1731312316.3111572,-1.646e-08
1731312316.4266844,-2.496e-08
1731312316.5422294,3.4e-09
1731312316.6577115,5.5e-10
1731312316.7732933,-1.078e-08
1731312316.8889022,-1.362e-08
1731312317.00432,-1.362e-08
1731312317.1199288,-1.71e-09
1731312317.2354488,2.82e-09
1731312317.3510447,7.36e-09
1731312317.4666827,-7.37e-09
1731312317.5822663,1.418e-08
