time,34420a_volt,TMP117_room_temp
1733051241.564488,+5.33700000E-08,0.0
1733051246.8515298,+5.21100000E-08,0.0
1733051252.1373343,+5.50900000E-08,17.14
1733051257.4231756,+5.75200000E-08,17.15
1733051262.7088542,+5.70600000E-08,17.16
1733051267.994031,+5.73600000E-08,17.18
1733051273.2795424,+5.60900000E-08,17.2
1733051278.5653462,+5.68000000E-08,17.21
1733051283.850785,+5.12600000E-08,17.23
1733051289.1359627,+5.73400000E-08,17.23
1733051294.4217963,+5.70900000E-08,17.25
1733051299.7070782,+5.49900000E-08,17.27
1733051304.9928865,+5.74300000E-08,17.29
1733051310.2784865,+5.52400000E-08,17.3
1733051315.5640059,+5.53800000E-08,17.31
1733051320.849557,+5.57500000E-08,17.31
1733051326.135243,+5.60800000E-08,17.33
1733051331.4206743,+5.45500000E-08,17.34
1733051336.7062554,+5.37800000E-08,17.35
1733051341.9916701,+5.62300000E-08,17.37
1733051347.2772293,+5.36300000E-08,17.38
1733051352.562542,+5.39100000E-08,17.38
1733051357.8480995,+5.65900000E-08,17.41
1733051363.1335628,+5.39800000E-08,17.42
1733051368.4185953,+5.50400000E-08,17.43
1733051373.7039042,+5.06900000E-08,17.45
1733051378.9892123,+5.48300000E-08,17.45
1733051384.274268,+5.41300000E-08,17.47
1733051389.559701,+5.39100000E-08,17.47
1733051394.8455005,+5.16200000E-08,17.48
1733051400.131076,+5.29500000E-08,17.48
1733051405.4166343,+5.36400000E-08,17.48
1733051410.7021146,+5.56000000E-08,17.57
1733051415.9877577,+5.08300000E-08,17.58
1733051421.2731938,+5.33000000E-08,17.59
1733051426.5586724,+5.40800000E-08,17.6
1733051431.8443115,+5.45700000E-08,17.61
1733051437.1295278,+5.28500000E-08,17.63
1733051442.4150565,+5.47500000E-08,17.63
1733051447.7002478,+5.20200000E-08,17.65
1733051452.9856844,+5.27700000E-08,17.66
1733051458.2709894,+5.24800000E-08,17.67
1733051463.556487,+5.36400000E-08,17.69
1733051468.841495,+5.37400000E-08,17.7
1733051474.1266809,+5.50400000E-08,17.7
1733051479.4114885,+5.44000000E-08,17.7
1733051484.6966805,+5.42300000E-08,17.72
1733051489.9818704,+5.40000000E-08,17.73
1733051495.26731,+5.49400000E-08,17.74
1733051500.5528722,+4.95500000E-08,17.75
1733051505.8383126,+5.53400000E-08,17.77
1733051511.1236248,+5.49500000E-08,17.77
1733051516.408686,+5.40000000E-08,17.78
1733051521.6941397,+5.27200000E-08,17.79
1733051526.9793158,+5.58100000E-08,17.8
1733051532.2647572,+5.40600000E-08,17.81
1733051537.549819,+5.32000000E-08,17.82
1733051542.8350089,+5.43800000E-08,17.82
1733051548.1199462,+5.12600000E-08,17.82
1733051553.4051518,+5.41000000E-08,17.84
1733051558.690201,+5.10900000E-08,17.84
1733051563.9753914,+5.33500000E-08,17.84
1733051569.2607899,+5.27500000E-08,17.84
1733051574.5463953,+5.17500000E-08,17.91
1733051579.8317044,+5.19200000E-08,17.94
